latitude,longitude,timestamp
28.7589,133.3244,1769257856
28.4381,133.6602,1769257863
28.1163,133.9939,1769257870
27.7936,134.3253,1769257877
27.3542,134.7716,1769257886
26.3303,135.7906,1769257908
26.0027,136.1106,1769257915
25.5569,136.5418,1769257925
25.2271,136.8575,1769257932
24.5657,137.4829,1769257946
24.1153,137.9031,1769257956
23.7824,138.2106,1769257963
23.3058,138.6469,1769257973
22.9951,138.9288,1769257979
22.6599,139.2306,1769257986
22.324,139.5309,1769257993
21.8431,139.957,1769258003
21.5298,140.2323,1769258010
21.0468,140.6533,1769258020
20.586,141.0511,1769258029
20.1978,141.3834,1769258037
19.1264,142.2881,1769258059
18.7844,142.5732,1769258066
18.1234,143.1194,1769258080
17.7799,143.4007,1769258087
17.0914,143.96,1769258101
16.697,144.2777,1769258109
16.3022,144.5937,1769258117
15.981,144.8495,1769258123
15.6099,145.1435,1769258131
15.1391,145.5142,1769258140
14.7919,145.786,1769258147
14.3945,146.0956,1769258155
13.3239,146.9219,1769258177
12.9748,147.189,1769258184
12.6253,147.4552,1769258191
12.3005,147.7018,1769258198
11.9504,147.9665,1769258205
10.2208,149.2606,1769258239
9.1398,150.0589,1769258261
8.0313,150.8702,1769258283
7.5269,151.2372,1769258293
7.1989,151.4753,1769258299
6.8454,151.7312,1769258306
6.4918,151.9867,1769258313
6.0875,152.2782,1769258321
5.7589,152.5146,1769258328
5.253,152.8778,1769258338
4.7469,153.2404,1769258348
4.4177,153.4758,1769258354
3.9873,153.7831,1769258363
3.5061,154.1262,1769258372
3.1514,154.3788,1769258379
-0.0432,156.6455,1769258443
-0.7532,157.1486,1769258457
-1.1588,157.4361,1769258465
-1.5138,157.6878,1769258472
-1.8433,157.9215,1769258478
-2.9075,158.6774,1769258499
-4.629,159.9049,1769258533
-4.983,160.1583,1769258540
-5.337,160.412,1769258547
-6.4234,161.1935,1769258569
-7.5584,162.0151,1769258591
-7.8859,162.2533,1769258598
-8.3895,162.6206,1769258608
-8.7921,162.9152,1769258616
-9.8987,163.73,1769258638
-10.5763,164.2328,1769258652
-10.9271,164.4943,1769258659
-11.4276,164.869,1769258669
-11.9274,165.2451,1769258679
-12.3019,165.5282,1769258686
-12.6512,165.7933,1769258693
-12.9753,166.0402,1769258700
-13.3747,166.3459,1769258708
-13.8719,166.7284,1769258718
-14.5681,167.268,1769258732
-14.8904,167.5195,1769258738
-15.2369,167.7911,1769258745
-15.5583,168.0443,1769258752
-15.9534,168.357,1769258760
-16.348,168.6711,1769258768
-16.8403,169.0657,1769258778
-17.1597,169.3233,1769258784
-17.5033,169.6019,1769258791
